,Unnamed: 0,file,video,start,end,dur,activity,person_ID,inside,outside,pose,gaze
0,0,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_10_12_ID_1,2019_0624_095026_159A.MP4_10_12_ID_1,2019_0624_095026_160B.MP4_10_12_ID_1_pose,2019_0624_095026_160B.MP4_10_12_ID_1_gaze
1,1,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_12_14_ID_1,2019_0624_095026_159A.MP4_12_14_ID_1,2019_0624_095026_160B.MP4_12_14_ID_1_pose,2019_0624_095026_160B.MP4_12_14_ID_1_gaze
2,2,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_14_16_ID_1,2019_0624_095026_159A.MP4_14_16_ID_1,2019_0624_095026_160B.MP4_14_16_ID_1_pose,2019_0624_095026_160B.MP4_14_16_ID_1_gaze
3,3,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_16_18_ID_1,2019_0624_095026_159A.MP4_16_18_ID_1,2019_0624_095026_160B.MP4_16_18_ID_1_pose,2019_0624_095026_160B.MP4_16_18_ID_1_gaze
4,4,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_18_20_ID_1,2019_0624_095026_159A.MP4_18_20_ID_1,2019_0624_095026_160B.MP4_18_20_ID_1_pose,2019_0624_095026_160B.MP4_18_20_ID_1_gaze
5,5,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_20_22_ID_1,2019_0624_095026_159A.MP4_20_22_ID_1,2019_0624_095026_160B.MP4_20_22_ID_1_pose,2019_0624_095026_160B.MP4_20_22_ID_1_gaze
6,6,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_22_24_ID_1,2019_0624_095026_159A.MP4_22_24_ID_1,2019_0624_095026_160B.MP4_22_24_ID_1_pose,2019_0624_095026_160B.MP4_22_24_ID_1_gaze
7,7,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_24_26_ID_1,2019_0624_095026_159A.MP4_24_26_ID_1,2019_0624_095026_160B.MP4_24_26_ID_1_pose,2019_0624_095026_160B.MP4_24_26_ID_1_gaze
8,8,2019_0624_095026_160B.MP4_10_29_ID_1,2019_0624_095026_160B.MP4,10,29,19,eating,1,2019_0624_095026_160B.MP4_26_28_ID_1,2019_0624_095026_159A.MP4_26_28_ID_1,2019_0624_095026_160B.MP4_26_28_ID_1_pose,2019_0624_095026_160B.MP4_26_28_ID_1_gaze
9,9,2019_0624_095026_160B.MP4_23_25_ID_1,2019_0624_095026_160B.MP4,23,25,2,checking mirror driver,1,2019_0624_095026_160B.MP4_23_25_ID_1,2019_0624_095026_159A.MP4_23_25_ID_1,2019_0624_095026_160B.MP4_23_25_ID_1_pose,2019_0624_095026_160B.MP4_23_25_ID_1_gaze
10,10,2019_0624_095026_160B.MP4_28_29_ID_1,2019_0624_095026_160B.MP4,28,29,1,checking mirror driver,1,2019_0624_095026_160B.MP4_28_29_ID_1,2019_0624_095026_159A.MP4_28_29_ID_1,2019_0624_095026_160B.MP4_28_29_ID_1_pose,2019_0624_095026_160B.MP4_28_29_ID_1_gaze
11,11,2019_0624_095026_160B.MP4_25_29_ID_1,2019_0624_095026_160B.MP4,25,29,4,drinking,1,2019_0624_095026_160B.MP4_25_27_ID_1,2019_0624_095026_159A.MP4_25_27_ID_1,2019_0624_095026_160B.MP4_25_27_ID_1_pose,2019_0624_095026_160B.MP4_25_27_ID_1_gaze
12,12,2019_0624_095026_160B.MP4_25_29_ID_1,2019_0624_095026_160B.MP4,25,29,4,drinking,1,2019_0624_095026_160B.MP4_27_29_ID_1,2019_0624_095026_159A.MP4_27_29_ID_1,2019_0624_095026_160B.MP4_27_29_ID_1_pose,2019_0624_095026_160B.MP4_27_29_ID_1_gaze
13,13,2019_0624_095026_160B.MP4_32_33_ID_1,2019_0624_095026_160B.MP4,32,33,1,checking mirror driver,1,2019_0624_095026_160B.MP4_32_33_ID_1,2019_0624_095026_159A.MP4_32_33_ID_1,2019_0624_095026_160B.MP4_32_33_ID_1_pose,2019_0624_095026_160B.MP4_32_33_ID_1_gaze
14,14,2019_0624_095026_160B.MP4_57_62_ID_1,2019_0624_095026_160B.MP4,57,62,5,eating,1,2019_0624_095026_160B.MP4_57_59_ID_1,2019_0624_095026_159A.MP4_57_59_ID_1,2019_0624_095026_160B.MP4_57_59_ID_1_pose,2019_0624_095026_160B.MP4_57_59_ID_1_gaze
15,15,2019_0624_095026_160B.MP4_57_62_ID_1,2019_0624_095026_160B.MP4,57,62,5,eating,1,2019_0624_095026_160B.MP4_59_61_ID_1,2019_0624_095026_159A.MP4_59_61_ID_1,2019_0624_095026_160B.MP4_59_61_ID_1_pose,2019_0624_095026_160B.MP4_59_61_ID_1_gaze
16,16,2019_0624_095026_160B.MP4_96_102_ID_1,2019_0624_095026_160B.MP4,96,102,6,checking mirror middle,1,2019_0624_095026_160B.MP4_96_98_ID_1,2019_0624_095026_159A.MP4_96_98_ID_1,2019_0624_095026_160B.MP4_96_98_ID_1_pose,2019_0624_095026_160B.MP4_96_98_ID_1_gaze
17,17,2019_0624_095026_160B.MP4_96_102_ID_1,2019_0624_095026_160B.MP4,96,102,6,checking mirror middle,1,2019_0624_095026_160B.MP4_98_100_ID_1,2019_0624_095026_159A.MP4_98_100_ID_1,2019_0624_095026_160B.MP4_98_100_ID_1_pose,2019_0624_095026_160B.MP4_98_100_ID_1_gaze
18,18,2019_0624_095026_160B.MP4_96_102_ID_1,2019_0624_095026_160B.MP4,96,102,6,checking mirror middle,1,2019_0624_095026_160B.MP4_100_102_ID_1,2019_0624_095026_159A.MP4_100_102_ID_1,2019_0624_095026_160B.MP4_100_102_ID_1_pose,2019_0624_095026_160B.MP4_100_102_ID_1_gaze
19,19,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_77_79_ID_1,2019_0624_095026_159A.MP4_77_79_ID_1,2019_0624_095026_160B.MP4_77_79_ID_1_pose,2019_0624_095026_160B.MP4_77_79_ID_1_gaze
20,20,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_79_81_ID_1,2019_0624_095026_159A.MP4_79_81_ID_1,2019_0624_095026_160B.MP4_79_81_ID_1_pose,2019_0624_095026_160B.MP4_79_81_ID_1_gaze
21,21,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_81_83_ID_1,2019_0624_095026_159A.MP4_81_83_ID_1,2019_0624_095026_160B.MP4_81_83_ID_1_pose,2019_0624_095026_160B.MP4_81_83_ID_1_gaze
22,22,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_83_85_ID_1,2019_0624_095026_159A.MP4_83_85_ID_1,2019_0624_095026_160B.MP4_83_85_ID_1_pose,2019_0624_095026_160B.MP4_83_85_ID_1_gaze
23,23,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_85_87_ID_1,2019_0624_095026_159A.MP4_85_87_ID_1,2019_0624_095026_160B.MP4_85_87_ID_1_pose,2019_0624_095026_160B.MP4_85_87_ID_1_gaze
